session,count
2024-03-25-15-40-16_mapping_tartu,4687
2024-03-25-15-42-22_mapping_tartu,3754
2024-03-25-15-44-03_mapping_tartu,1717
2024-03-25-15-45-57_mapping_tartu,1405
2024-03-25-15-48-14_mapping_tartu,2547
2024-03-25-15-52-24_mapping_tartu,1892
2024-03-25-15-56-32_mapping_tartu,3053
2024-03-25-15-58-26_mapping_tartu,2477
2024-03-25-16-00-19_mapping_tartu,2809
2024-03-25-16-02-06_mapping_tartu,4881
2024-03-25-16-04-22_mapping_tartu,13601
2024-03-25-16-10-46_mapping_tartu,7982
2024-03-25-16-13-35_mapping_tartu,6367
2024-03-25-16-15-51_mapping_tartu,8360
2024-03-25-16-19-50_mapping_tartu,7104
2024-03-25-16-23-55_mapping_tartu,22230
2024-03-25-16-35-03_mapping_tartu,8041
2024-03-25-16-39-10_mapping_tartu,3406
2024-03-25-16-42-16_mapping_tartu,1755
2024-03-25-16-43-15_mapping_tartu,12623
2024-03-27-12-34-10_mapping_tartu_streets,12087
2024-03-27-12-41-54_mapping_tartu_streets_pacmod_glogal_sys_fault_in_the_end,6181
2024-03-27-12-47-20_mapping_tartu_streets,5825
2024-03-27-12-50-20_mapping_tartu_streets,51094
2024-03-27-13-09-30_mapping_tartu_streets,5222
2024-03-27-13-13-06_mapping_tartu_streets,4406
2024-03-27-13-18-04_mapping_tartu_streets,2489
2024-03-27-13-20-58_mapping_tartu_streets,520
2024-03-27-13-22-44_mapping_tartu_streets,10582
2024-03-27-13-34-18_mapping_tartu_streets,2103
2024-03-27-13-38-33_mapping_tartu_streets,35716
2024-03-27-13-56-26_mapping_tartu_streets,12481
2024-04-02-11-35-45_mapping_tartu_streets,4655
2024-04-02-11-46-51_mapping_tartu_streets,4884
2024-04-02-11-54-47_mapping_tartu_streets,2975
2024-04-02-11-56-53_mapping_tartu_streets,4121
2024-04-02-12-00-53_mapping_tartu_streets,1871
2024-04-02-12-11-04_mapping_tartu_streets,3817
2024-04-02-12-14-35_mapping_tartu_streets,3853
2024-04-02-12-18-22_mapping_tartu_streets,8831
2024-04-02-12-24-48_mapping_tartu_streets_pacmod_sys_fault_in_the_end,2932
2024-04-02-12-32-12_mapping_tartu_streets,8274
2024-04-02-12-38-00_mapping_tartu_streets,9535
2024-04-02-12-41-50_mapping_tartu_streets,4944
2024-04-02-12-44-15_mapping_tartu_streets,9638
2024-04-02-12-53-54_mapping_tartu_streets,11245
2024-04-02-13-03-53_mapping_tartu_streets,483
2024-04-02-13-05-47_mapping_tartu_streets,2026
2024-04-02-13-07-29_mapping_tartu_streets,2555
2024-04-02-13-14-31_mapping_tartu_streets,1733
2024-04-02-13-17-56_mapping_tartu_streets,300
2024-04-08-15-00-11_mapping_tartu_streets,12148
2024-04-08-15-04-47_mapping_tartu_streets,10661
2024-04-08-15-08-55_mapping_tartu_streets,5488
2024-04-08-15-18-01_mapping_tartu_streets,10035
2024-04-08-15-24-06_mapping_tartu_streets,4684
2024-04-08-15-27-30_mapping_tartu_streets,3208
2024-04-08-15-29-23_mapping_tartu_streets,7440
2024-04-08-15-37-30_mapping_tartu_streets,1787
2024-04-08-15-40-08_mapping_tartu_streets,1184
2024-04-08-15-42-10_mapping_tartu_streets,1753
2024-04-08-15-44-00_mapping_tartu_streets,3922
2024-04-08-15-46-54_mapping_tartu_streets,274
2024-04-08-15-48-12_mapping_tartu_streets,151
2024-04-08-15-49-37_mapping_tartu_streets,325
2024-04-08-15-50-49_mapping_tartu_streets,542
2024-04-08-15-54-37_mapping_tartu_streets,145
2024-04-08-15-55-15_mapping_tartu_streets,2184
2024-04-08-15-57-58_mapping_tartu_streets,1269
2024-04-08-16-00-20_mapping_tartu_streets,2007
2024-04-08-16-03-32_mapping_tartu_streets,2110
2024-04-08-16-06-41_mapping_tartu_streets,2747
2024-04-08-16-09-34_mapping_tartu_streets,1706
2024-04-08-16-12-45_mapping_tartu_streets,1245
2024-04-08-16-14-19_mapping_tartu_streets,134
2024-04-08-16-15-48_mapping_tartu_streets,1004
2024-04-08-16-17-09_mapping_tartu_streets,478
2024-04-08-16-18-15_mapping_tartu_streets,2090
2024-04-08-16-23-44_mapping_tartu_streets,683
2024-04-08-16-25-01_mapping_tartu_streets,1074
2024-04-08-16-27-07_mapping_tartu_streets,1172
2024-04-08-16-29-03_mapping_tartu_streets,352
2024-04-08-16-31-14_mapping_tartu_streets,521
2024-04-08-16-32-11_mapping_tartu_streets,552
2024-04-08-16-33-40_mapping_tartu_streets,519
2024-04-08-16-35-19_mapping_tartu_streets,223
2024-04-08-16-37-45_mapping_tartu_streets,1243
2024-04-08-16-39-58_mapping_tartu_streets,45
2024-04-08-16-41-04_mapping_tartu_streets,114
2024-04-08-16-42-07_mapping_tartu_streets,459
2024-04-08-16-45-05_mapping_tartu_streets,314
2024-04-08-16-46-18_mapping_tartu_streets,358
2024-04-08-16-47-38_mapping_tartu_streets,178
2024-04-08-16-52-44_mapping_tartu_streets,424
2024-04-08-16-54-57_mapping_tartu_streets,2291
2024-04-08-16-57-52_mapping_tartu_streets,7514
2024-04-08-17-00-51_mapping_tartu_streets,5665
2024-04-08-17-03-19_mapping_tartu_streets,892
2024-04-08-17-05-18_mapping_tartu_streets,11355
2024-04-08-17-07-12_mapping_tartu_streets,10186
2024-04-08-17-09-05_mapping_tartu_streets,15008
2024-04-08-17-12-53_mapping_tartu_streets,0
2024-04-08-17-13-45_mapping_tartu_streets,1197
2024-04-08-17-15-02_mapping_tartu_streets,3165
2024-04-08-17-16-35_mapping_tartu_streets,3957
2024-04-08-17-18-56_mapping_tartu_streets,1112
2024-04-08-17-20-21_mapping_tartu_streets,15120
2024-04-08-17-24-28_mapping_tartu_streets,1619
2024-04-08-17-25-57_mapping_tartu_streets,12087
2024-04-08-17-29-47_mapping_tartu_streets,617
2024-04-08-17-31-23_mapping_tartu_streets,477
2024-04-08-17-34-04_mapping_tartu_streets,542
2024-04-08-17-34-57_mapping_tartu_streets,2290
2024-04-08-17-37-09_mapping_tartu_streets,5491
2024-04-08-17-42-25_mapping_tartu_streets,5596
2024-04-09-15-49-52_mapping_tartu_streets,37241
2024-04-09-16-03-38_mapping_tartu_streets,11309
2024-04-09-16-08-32_mapping_tartu_streets,5460
2024-04-09-16-13-50_mapping_tartu_streets,4482
2024-04-09-16-18-07_mapping_tartu_streets,723
2024-04-09-16-19-34_mapping_tartu_streets,1963
2024-04-09-16-21-19_mapping_tartu_streets,2665
2024-04-09-16-23-32_mapping_tartu_streets,15414
2024-04-09-16-31-06_mapping_tartu_streets,23683
2024-04-09-16-43-04_mapping_tartu_streets,9092
2024-04-09-16-48-25_mapping_tartu_streets,5999
2024-04-09-16-51-15_mapping_tartu_streets,8253
2024-04-09-16-58-38_mapping_tartu_streets,2905
2024-04-09-17-01-06_mapping_tartu_streets,6128
2024-04-10-15-00-07_mapping_tartu_streets,47627
2024-04-10-15-27-31_mapping_tartu_streets,1434
2024-04-10-15-36-40_mapping_tartu_streets,65590
2024-04-10-16-06-45_mapping_tartu_streets,7566
2024-04-10-16-26-05_mapping_tartu_streets,7667
2024-04-10-16-29-05_mapping_tartu_streets,11505
2024-04-10-16-36-32_mapping_tartu_streets,10386
2024-04-12-13-56-08_mapping_tartu_streets,13478
2024-04-12-13-59-30_mapping_tartu_streets,15620
2024-04-12-14-03-44_mapping_tartu_streets,26903
2024-04-12-14-09-54_mapping_tartu_streets,32625
2024-04-12-14-18-28_mapping_tartu_streets,14666
2024-04-12-14-23-04_mapping_tartu_streets,8285
2024-04-12-14-27-58_mapping_tartu_streets,18550
2024-04-12-14-35-56_mapping_tartu_streets,3502
2024-04-12-14-38-10_mapping_tartu_streets,8078
2024-04-12-14-44-20_mapping_tartu_streets,17559
2024-04-12-14-50-03_mapping_tartu_streets,15258
2024-04-12-14-58-07_mapping_tartu_streets,4053
2024-04-12-15-03-28_mapping_tartu_streets,23230
2024-04-12-15-15-31_mapping_tartu_streets,2262
2024-04-12-15-18-20_mapping_tartu_streets,7053
2024-04-12-15-25-42_mapping_tartu_streets,11398
2024-04-12-15-30-40_mapping_tartu_streets,18025
2024-04-12-15-36-02_mapping_tartu_streets,57900
2024-04-12-15-52-10_mapping_tartu_streets,2932
2024-04-12-15-53-45_mapping_tartu_streets,20594
2024-04-12-16-02-09_mapping_tartu_streets,33808
2024-04-12-16-13-33_mapping_tartu_streets,19838
2024-04-12-16-19-47_mapping_tartu_streets,5305
2024-04-16-13-30-08_mapping_tartu_streets_pacmod_sys_fault_in_the_end,15985
2024-04-16-13-41-43_mapping_tartu_streets,12466
2024-04-16-13-49-30_mapping_tartu_streets,136320
2024-04-16-14-35-00_mapping_tartu_streets,12563
2024-04-16-14-41-18_mapping_tartu_streets,8485
2024-04-16-14-46-34_mapping_tartu_streets,18476
2024-04-16-14-56-18_mapping_tartu_streets,15309
2024-04-16-15-02-18_mapping_tartu_streets,8165
2024-04-16-15-06-03_mapping_tartu_streets,13310
2024-04-16-15-11-29_mapping_tartu_streets,28987
2024-04-16-15-17-24_mapping_tartu_streets,2199
2024-04-16-15-18-40_mapping_tartu_streets,17462
2024-04-16-15-25-35_mapping_tartu_streets,10004
2024-04-16-15-30-36_mapping_tartu_streets,3225
2024-04-16-15-32-48_mapping_tartu_streets,2659
2024-04-16-15-37-46_mapping_tartu_streets,18142
2024-04-16-15-49-48_mapping_tartu_streets,2345
2024-04-16-15-53-36_mapping_tartu_streets,2304
2024-04-16-15-54-52_mapping_tartu_streets,8801
2024-04-16-16-00-16_mapping_tartu_streets,5474
2024-04-16-16-04-48_mapping_tartu_streets,2372
2024-04-16-16-06-32_mapping_tartu_streets,4954
2024-04-16-16-10-26_mapping_tartu_streets,754
2024-04-16-16-11-47_mapping_tartu_streets,10334
2024-04-16-16-15-28_mapping_tartu_streets,6071
2024-04-16-16-17-45_mapping_tartu_streets,1364
2024-04-16-16-27-09_mapping_tartu_streets,7183
2024-04-16-16-31-00_mapping_tartu_streets,5067
2024-04-16-16-37-25_mapping_tartu_streets,20128
2024-04-18-14-25-15_mapping_tartu_streets,20617
2024-04-18-14-31-46_mapping_tartu_streets,16131
2024-04-18-14-37-32_mapping_tartu_streets,16039
2024-04-18-14-43-36_mapping_tartu_streets,10640
2024-04-18-14-49-13_mapping_tartu_streets,8311
2024-04-18-14-58-50_mapping_tartu_streets,5166
2024-04-18-15-05-42_mapping_tartu_streets,13457
2024-04-18-15-09-27_mapping_tartu_streets,62293
2024-04-18-15-34-19_mapping_tartu_streets_pacmod_sys_fault_in_the_end,11972
2024-04-18-15-39-25_mapping_tartu_streets,5900
2024-04-18-15-53-39_mapping_tartu_streets,2871
2024-04-18-15-55-16_mapping_tartu_streets,20010
2024-04-24-15-17-40_mapping_tartu_streets,57050
2024-04-24-15-35-31_mapping_tartu_streets,6252
2024-04-24-15-54-22_mapping_tartu_streets,24199
2024-04-24-16-00-55_mapping_tartu_streets,7026
2024-04-24-16-06-06_mapping_tartu_streets,15939
2024-07-08-12-01-14_mapping_tartu_streets,247855
2024-07-08-12-15-50_mapping_tartu_streets,375173
2024-07-08-12-40-49_mapping_tartu_streets,18710
2024-07-08-12-43-16_mapping_tartu_streets,51486
2024-07-08-12-48-44_mapping_tartu_streets,7158
2024-07-08-12-51-07_mapping_tartu_streets,13498
2024-07-08-12-55-12_mapping_tartu_streets,13939
2024-07-08-12-58-35_mapping_tartu_streets,29382
2024-07-08-13-54-29_mapping_tartu_streets,41914
2024-07-08-13-58-31_mapping_tartu_streets,92917
2024-07-08-14-19-07_mapping_tartu_streets,54595
2024-07-08-14-24-35_mapping_tartu_streets,88166
2024-07-09-15-29-09_mapping_tartu_streets,41577
2024-07-09-15-34-13_mapping_tartu_streets,77699
2024-07-09-15-42-04_mapping_tartu_streets,30612
2024-07-09-15-47-57_mapping_tartu_streets,45916
2024-07-09-15-57-33_mapping_tartu_streets,94887
2024-07-09-16-16-37_mapping_tartu_streets,54702
2024-07-09-16-27-30_mapping_tartu_streets,33553
2024-07-09-16-49-42_mapping_tartu_streets,47830
2024-07-09-17-08-54_mapping_tartu_streets,25627
2024-07-10-12-17-08_mapping_tartu_streets,203761
2024-07-10-12-43-08_mapping_tartu_streets,37029
2024-07-10-12-53-29_mapping_tartu_streets,77239
2024-07-10-13-02-50_mapping_tartu_streets,5052
2024-07-10-13-04-45_mapping_tartu_streets,56391
2024-07-10-13-11-35_mapping_tartu_streets,176811
2024-07-10-13-29-02_mapping_tartu_streets,103703
2024-07-10-13-49-55_mapping_tartu_streets,53861
2024-07-10-14-10-00_mapping_tartu_streets,164185
2024-07-10-14-36-59_mapping_tartu_streets,106917
2024-07-10-14-56-41_mapping_tartu_streets,135562
2024-07-10-15-16-58_mapping_tartu_streets,47430
2024-07-11-14-32-54_mapping_tartu_streets,115020
2024-07-11-14-55-13_mapping_tartu_streets,413315
2024-07-11-15-37-12_mapping_tartu_streets,3411
2024-07-11-15-39-14_mapping_tartu_streets,132367
2024-07-11-15-51-59_mapping_tartu_streets,458931
2024-07-16-13-05-46_mapping_tartu_streets,151207
2024-07-16-13-39-36_mapping_tartu_streets,80198
2024-07-16-13-48-42_mapping_tartu_streets,66084
2024-07-16-14-06-42_mapping_tartu_streets,139016
2024-07-16-14-21-41_mapping_tartu_streets,97159
2024-07-16-14-35-13_mapping_tartu_streets,84030
2024-07-16-14-47-30_mapping_tartu_streets,109063
2024-07-16-14-58-55_mapping_tartu_streets,169891
2024-08-16-12-55-45_mapping_tartu_streets,48614
2024-08-16-13-00-58_mapping_tartu_streets,35059
2024-08-16-13-04-53_mapping_tartu_streets,44611
2024-08-16-13-13-27_mapping_tartu_streets,47689
2024-08-16-13-24-37_mapping_tartu_streets,5541
2024-08-16-13-27-05_mapping_tartu_streets_messy,43336
2024-08-16-13-52-55_mapping_tartu_streets,13104
2024-08-16-13-56-40_mapping_tartu_streets,102885
2024-08-16-14-19-54_mapping_tartu_streets,33926
2024-08-16-14-25-19_mapping_tartu_streets,23981
2024-08-16-14-33-25_mapping_tartu_streets,13814
2024-08-16-14-37-21_mapping_tartu_streets,2608
2024-08-16-14-42-48_mapping_tartu_streets,4032
2024-08-16-14-44-03_mapping_tartu_streets,3901
2024-08-16-14-50-58_mapping_tartu_streets,2753
2024-08-16-14-54-43_mapping_tartu_streets,6053
2024-08-16-15-01-46_mapping_tartu_streets,3062
2024-08-16-15-04-04_mapping_tartu_streets,2375
2024-08-16-15-05-08_mapping_tartu_streets,3363
2024-08-16-15-17-33_mapping_tartu_streets,108995
2024-08-16-15-32-17_mapping_tartu_streets,3470
2024-08-16-15-34-04_mapping_tartu_streets,9550
2024-08-16-15-35-43_mapping_tartu_streets,25677
2024-08-16-15-39-24_mapping_tartu_streets,8214
2024-08-16-15-41-24_mapping_tartu_streets,6383
2024-08-16-15-44-10_mapping_tartu_streets,12546
2024-08-16-15-49-41_mapping_tartu_streets,9790
2024-08-16-15-53-11_mapping_tartu_streets,4035
2024-08-16-15-59-05_mapping_tartu_streets,34785
2024-08-16-16-03-30_mapping_tartu_streets,38725
2024-08-16-16-07-37_mapping_tartu_streets,20328
2024-08-16-16-12-55_mapping_tartu_streets,31527
2024-08-16-16-16-39_mapping_tartu_streets,19137
2024-08-16-16-18-58_mapping_tartu_streets,15657
2024-08-16-16-23-26_mapping_tartu_streets,10653
2024-08-16-16-27-03_mapping_tartu_streets,1651
2024-08-16-16-31-53_mapping_tartu_streets,29040
2024-08-16-16-36-52_mapping_tartu_streets,13345
2024-08-22-09-53-47_mapping_tartu_streets_bus_stops,371459
2024-08-22-10-31-21_mapping_tartu_streets_bus_stops,62934
2024-08-22-10-38-05_mapping_tartu_streets_bus_stops,382824
2024-09-05-13-41-48_mapping_tartu_streets_traffic_lights_ouster_lidar,258406
2024-09-05-14-18-54_mapping_tartu_streets_traffic_lights_ouster_lidar_2,269867
TOTAL,8790531
